Dataset,Samples,Features,Classes,IR,Accuracy,Precision,Recall,F1-Score,G-Mean,AUC,Time(s)
Australian,690,14,2,1.25,0.7729,0.7899,0.7729,0.7644,0.7355,0.8130,24.4
Bank,1223,14,2,4.99,0.4332,0.7952,0.4332,0.4778,0.5424,0.6639,6.4
Blood_Transfusion_Service,748,4,2,3.22,0.4711,0.7709,0.4711,0.4802,0.5500,0.6548,1.5
Diabetes,768,8,2,1.87,0.7662,0.7692,0.7662,0.7675,0.7468,0.8177,3.1
Echocardiogram,131,10,2,2.03,0.7750,0.7675,0.7750,0.7662,0.6918,0.7635,1.2
Ecoil,327,7,2,1.28,0.9293,0.9293,0.9293,0.9292,0.9265,0.9797,2.3
Fertility,100,9,2,7.75,0.6667,0.8519,0.6667,0.7197,0.7003,0.6538,0.3
German,1000,24,2,2.33,0.7567,0.7530,0.7567,0.7546,0.6891,0.7726,18.7
Haberman,306,3,2,2.75,0.6848,0.6719,0.6848,0.6777,0.5192,0.5447,1.1
Ionosphere,351,34,2,1.78,0.8679,0.8669,0.8679,0.8671,0.8484,0.9317,1.4
Monk_1,556,7,2,1.01,0.5150,0.5165,0.5150,0.5090,0.5036,0.6307,1.1
Monk_2,601,7,2,1.92,0.6851,0.7267,0.6851,0.6930,0.6974,0.7759,2.9
Monk_3,554,7,2,1.08,0.7844,0.8356,0.7844,0.7781,0.7707,0.8931,3.3
Oil_Spill,937,49,2,21.59,0.8759,0.9504,0.8759,0.9055,0.7682,0.8052,4.5
Pharyngitis,676,18,2,8.27,0.7488,0.8567,0.7488,0.7889,0.6495,0.7300,2.2
Phoneme,876,5,2,7.07,0.5741,0.8664,0.5741,0.6428,0.6736,0.7123,1.1
Pima_Indians,768,8,2,1.87,0.7403,0.7337,0.7403,0.7349,0.6831,0.7809,3.3
Plrx,182,12,2,2.53,0.4545,0.6618,0.4545,0.4502,0.5000,0.4247,1.1
Sonar,208,60,2,1.13,0.6984,0.6994,0.6984,0.6987,0.6977,0.7525,1.2
Statlog_Heart,270,13,2,1.25,0.5926,0.5896,0.5926,0.5903,0.5774,0.6623,1.6
Thyroid_Diff,383,5,2,2.53,0.7043,0.7043,0.7043,0.7043,0.6105,0.6905,2.8
Votes,435,16,2,1.62,0.5344,0.5923,0.5344,0.5359,0.5497,0.5507,1.0
WDBC,569,30,2,1.69,0.9708,0.9711,0.9708,0.9706,0.9637,0.9974,2.4
Website_Phishing,1353,9,2,12.15,0.7389,0.8822,0.7389,0.7952,0.5869,0.7446,6.4
Average,14012,15.5,2.0,3.96,0.6976,0.7730,0.6976,0.7084,0.6743,0.7394,95.3
