Dataset,MLP_F1,SVM_F1,Delta(MLP-SVM)
Australian,0.7644,0.8748,-0.1104
Bank,0.4778,0.8598,-0.382
Blood_Transfusion_Service,0.4802,0.7482,-0.268
Diabetes,0.7675,0.7446,0.0229
Echocardiogram,0.7662,0.8761,-0.1099
Ecoil,0.9292,0.9697,-0.0405
Fertility,0.7197,0.7547,-0.035
German,0.7546,0.7205,0.0341
Haberman,0.6777,0.6936,-0.0159
Ionosphere,0.8671,0.9328,-0.0657
Monk_1,0.509,0.8662,-0.3572
Monk_2,0.693,0.7165,-0.0235
Monk_3,0.7781,0.9761,-0.198
Oil_Spill,0.9055,0.9377,-0.0322
Pharyngitis,0.7889,0.8019,-0.013
Phoneme,0.6428,0.8412,-0.1984
Pima_Indians,0.7349,0.7446,-0.0097
Plrx,0.4502,0.4051,0.0451
Sonar,0.6987,0.8078,-0.1091
Statlog_Heart,0.5903,0.8397,-0.2494
Thyroid_Diff,0.7043,0.7547,-0.0504
Votes,0.5359,0.5936,-0.0577
WDBC,0.9706,0.9824,-0.0118
Website_Phishing,0.7952,0.9434,-0.1482
