Dataset,Samples,Features,Classes,IR,Accuracy,Precision,Recall,F1-Score,G-Mean,AUC,Time(s)
Australian,690,14,2,1.25,0.8744,0.8792,0.8744,0.8748,0.8776,0.9269,0.1
Bank,1223,14,2,4.99,0.8474,0.8898,0.8474,0.8598,0.8439,0.9077,0.1
Blood_Transfusion_Service,748,4,2,3.22,0.7333,0.7819,0.7333,0.7482,0.7162,0.7719,0.0
Diabetes,768,8,2,1.87,0.7403,0.7560,0.7403,0.7446,0.7375,0.8241,0.0
Echocardiogram,131,10,2,2.03,0.8750,0.8784,0.8750,0.8761,0.8673,0.8718,0.0
Ecoil,327,7,2,1.28,0.9697,0.9700,0.9697,0.9697,0.9705,0.9929,0.0
Fertility,100,9,2,7.75,0.7333,0.7806,0.7333,0.7547,0.4494,0.5096,0.0
German,1000,24,2,2.33,0.7133,0.7339,0.7133,0.7205,0.6881,0.7622,0.1
Haberman,306,3,2,2.75,0.6848,0.7063,0.6848,0.6936,0.6124,0.7056,0.0
Ionosphere,351,34,2,1.78,0.9340,0.9364,0.9340,0.9328,0.9109,0.9497,0.0
Monk_1,556,7,2,1.01,0.8683,0.8905,0.8683,0.8662,0.8591,0.8442,0.0
Monk_2,601,7,2,1.92,0.7127,0.8258,0.7127,0.7165,0.7491,0.8950,0.0
Monk_3,554,7,2,1.08,0.9760,0.9772,0.9760,0.9761,0.9767,0.9970,0.0
Oil_Spill,937,49,2,21.59,0.9255,0.9562,0.9255,0.9377,0.7904,0.8682,0.0
Pharyngitis,676,18,2,8.27,0.7635,0.8719,0.7635,0.8019,0.7041,0.7710,0.0
Phoneme,876,5,2,7.07,0.8175,0.8920,0.8175,0.8412,0.8046,0.9013,0.0
Pima_Indians,768,8,2,1.87,0.7403,0.7560,0.7403,0.7446,0.7375,0.8240,0.0
Plrx,182,12,2,2.53,0.3818,0.4953,0.3818,0.4051,0.3963,0.3798,0.0
Sonar,208,60,2,1.13,0.8095,0.8127,0.8095,0.8078,0.7993,0.8996,0.0
Statlog_Heart,270,13,2,1.25,0.8395,0.8402,0.8395,0.8397,0.8389,0.8630,0.0
Thyroid_Diff,383,5,2,2.53,0.7478,0.7671,0.7478,0.7547,0.7169,0.7387,0.0
Votes,435,16,2,1.62,0.5878,0.6127,0.5878,0.5936,0.5900,0.6717,0.0
WDBC,569,30,2,1.69,0.9825,0.9825,0.9825,0.9824,0.9796,0.9975,0.0
Website_Phishing,1353,9,2,12.15,0.9360,0.9602,0.9360,0.9434,0.9357,0.9825,0.1
Average,14012,15.5,2.0,3.96,0.7998,0.8314,0.7998,0.8077,0.7730,0.8273,0.4
