,dataset,method,accuracy,accuracy,auc_roc,auc_roc,f1_score,f1_score
,,,mean,std,mean,std,mean,std
0,Australian.mat,balanced_softmax,0.863768115942029,0.026327394383456472,0.9357225993689575,0.024642817332981178,0.8637923796395721,0.026089888846145274
1,Australian.mat,deepsmote,0.855072463768116,0.029434921755927376,0.9301452485836966,0.02820537245059346,0.8551464918126168,0.029136062089532018
2,Australian.mat,ldam,0.8594202898550725,0.026426931201174602,0.92976866713681,0.021455056421445007,0.8594142977616899,0.02623480791406874
3,Australian.mat,mlp_focal,0.863768115942029,0.030914100011161637,0.9352947624337032,0.023710847435112932,0.8639733257450759,0.030565705792212683
4,Diabetes.mat,balanced_softmax,0.7447415329768271,0.027923009755453202,0.8317030048916841,0.022780961496773593,0.7481923311416303,0.02625967810906726
5,Diabetes.mat,deepsmote,0.7342925048807402,0.04221130322444254,0.8293333333333333,0.032157062173286115,0.7390753140217494,0.04035376007634294
6,Diabetes.mat,ldam,0.7655886597063069,0.019504092918777294,0.8301313766596786,0.02339797215375237,0.7608466669822789,0.017782804221175605
7,Diabetes.mat,mlp_focal,0.714795008912656,0.03187067092500796,0.829298392732355,0.023892964229246375,0.7200230964765811,0.03208811613675234
8,Echocardiogram.mat,balanced_softmax,0.7931623931623932,0.06590070607248286,0.9043300653594771,0.06927025443148398,0.7989581442892139,0.06395707478474758
9,Echocardiogram.mat,deepsmote,0.7854700854700855,0.08110656278620418,0.8549655047204066,0.1075889963599664,0.7851071151071152,0.08635593263782984
10,Echocardiogram.mat,ldam,0.8236467236467236,0.07089238542065429,0.8931372549019608,0.07492636324139966,0.8240103964407369,0.07004897086497956
11,Echocardiogram.mat,mlp_focal,0.7623931623931623,0.14329308997810652,0.9169934640522875,0.05928651426629554,0.7660730883835121,0.14450217378609267
12,Ecoil.mat,balanced_softmax,0.9664335664335665,0.016600108350306605,0.9906137664758354,0.008799710974739581,0.9665061163977395,0.016502847325255438
13,Ecoil.mat,deepsmote,0.9633566433566434,0.020487243006828255,0.9881307415790175,0.008988039681044219,0.9634411133037132,0.020395774667463975
14,Ecoil.mat,ldam,0.9664335664335665,0.016600108350306605,0.9896085740913328,0.006979295555102584,0.9664841992885632,0.016523594630151274
15,Ecoil.mat,mlp_focal,0.9602797202797204,0.017422273824445177,0.9894369739197325,0.0073693718267521195,0.9603744350945188,0.017335067584064792
16,Fertility.mat,balanced_softmax,0.6,0.21794494717703367,0.6362745098039215,0.12937214683729567,0.6464678753864193,0.22094078316871618
17,Fertility.mat,deepsmote,0.82,0.0758287544405155,0.6186274509803922,0.14697074341183305,0.8104291566555497,0.055800457906897
18,Fertility.mat,ldam,0.8400000000000001,0.11401754250991378,0.6506535947712418,0.1476947036633206,0.8301083309843922,0.09000464804764603
19,Fertility.mat,mlp_focal,0.42000000000000004,0.10368220676663861,0.6441176470588236,0.12070729372434534,0.4904711008289956,0.12500668858695163
